日付,方法,カテゴリ,カテゴリの内訳,支払元,入金先,品目,メモ,お店,通貨,収入,支出,振替,残高調整,通貨変換前の金額,集計の設定
2022-05-16,payment,住まい,家電,-,-,,,-,（プレミアム会員で表示）,0,604,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-16,payment,エンタメ,漫画,-,-,,,-,（プレミアム会員で表示）,0,1222,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-17,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,184,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-17,payment,クルマ,自動車税,-,-,,,-,（プレミアム会員で表示）,0,10800,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-18,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,105,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-20,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,737,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-20,payment,日用雑貨,消耗品,-,-,,,-,（プレミアム会員で表示）,0,200,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-20,income,給与所得,-,-,-,,,-,（プレミアム会員で表示）,202140,0,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-21,payment,エンタメ,漫画,-,-,,,-,（プレミアム会員で表示）,0,1304,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-22,payment,エンタメ,漫画,-,-,,,-,（プレミアム会員で表示）,0,425,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-22,payment,クルマ,ガソリン,-,-,,,-,（プレミアム会員で表示）,0,3000,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-22,payment,住まい,家電,-,-,,,-,（プレミアム会員で表示）,0,8630,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-22,payment,食費,昼ご飯,-,-,,,-,（プレミアム会員で表示）,0,180,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-22,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,410,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-23,payment,エンタメ,漫画,-,-,,,-,（プレミアム会員で表示）,0,608,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-24,payment,食費,晩ご飯,-,-,,,-,（プレミアム会員で表示）,0,250,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-25,payment,美容・衣服,洋服,-,-,,,-,（プレミアム会員で表示）,0,4940,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-25,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,675,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-26,payment,エンタメ,漫画,-,-,,,-,（プレミアム会員で表示）,0,3380,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-27,payment,住まい,家賃,-,-,,,-,（プレミアム会員で表示）,0,52118,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-28,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,1117,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-28,payment,交通,Suica,-,-,,,-,（プレミアム会員で表示）,0,1000,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-28,payment,エンタメ,ゲーム,-,-,,,-,（プレミアム会員で表示）,0,500,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
